"1 (n=22) Mean +/- SD";"4 (n=78) Mean +/- SD";"1 (n=22) Median (IQR)";"4 (n=78) Median (IQR)";"Pval_Shapiro";"Pval_Levene";"Pval_Bartlett";"Pval_ANOVA*";"4 - 1 (Tukey*)"
"X_269274.txt.gz1.tbl.gz";"0.15908 +/- 0.044271";"0.14508 +/- 0.071818";"0.18082 (0.1271;0.18082)";"0.14675 (0.10745;0.18082)";2.8525e-05;0.020866;0.012458;0.38767;0.38767
"X_270854.txt.gz1.tbl.gz";"0.03242 +/- 0.058181";"0.046737 +/- 0.05178";"0 (0;0.059438)";"0.039625 (0;0.07925)";2.7503e-12;0.081293;0.4975;0.26782;0.26782
"X_27239.txt.gz1.tbl.gz";"0.063409 +/- 0.047693";"0.093 +/- 0.049852";"0.06975 (0.017438;0.06975)";"0.06975 (0.06975;0.1395)";1.0932e-10;0.18054;0.80251;0.014785;0.014785
"X_272862.txt.gz1.tbl.gz";"0.0086455 +/- 0.043535";"0.018917 +/- 0.038656";"0.0103 (-0.0357;0.049863)";"0.0103 (0.00515;0.05115)";1.5792e-05;0.5179;0.48877;0.28709;0.28709
"X_273129.txt.gz1.tbl.gz";"0.028525 +/- 0.050912";"0.031413 +/- 0.051624";"0 (0;0.067237)";"0 (0;0.08965)";1.0144e-14;0.81672;0.9371;0.81672;0.81672
"X_274268.txt.gz1.tbl.gz";"-0.01808 +/- 0.034122";"-0.041218 +/- 0.05226";"0 (0;0)";"0 (-0.07955;0)";3.4447e-13;0.05302;0.025847;0.05302;0.05302
"X_27473.txt.gz1.tbl.gz";"-0.019443 +/- 0.036695";"-0.026323 +/- 0.046364";"0 (0;0)";"0 (-0.08555;0)";1.839e-15;0.52309;0.20334;0.52309;0.52309
"X_27483.txt.gz1.tbl.gz";"0.085494 +/- 0.033881";"0.096295 +/- 0.031091";"0.09585 (0.059906;0.09585)";"0.09585 (0.09585;0.09585)";5.3747e-11;0.69514;0.61882;0.16143;0.16143
"X_27602.txt.gz1.tbl.gz";"-0.12314 +/- 0.045691";"-0.11908 +/- 0.046158";"-0.1548 (-0.1548;-0.0774)";"-0.1548 (-0.1548;-0.0774)";3.1694e-13;0.71582;0.9539;0.71582;0.71582
"X_276230.txt.gz1.tbl.gz";"-0.1089 +/- 0.088916";"-0.12984 +/- 0.068105";"-0.1089 (-0.2178;0)";"-0.1089 (-0.2178;-0.1089)";1.6009e-10;0.078079;0.11115;0.23797;0.23797
"X_276366.txt.gz1.tbl.gz";"-0.18853 +/- 0.045617";"-0.19634 +/- 0.042252";"-0.2127 (-0.2127;-0.2127)";"-0.2127 (-0.2127;-0.2127)";1.4954e-17;0.45364;0.65789;0.45364;0.45364
"X_27654.txt.gz1.tbl.gz";"-0.015382 +/- 0.052741";"-0.013015 +/- 0.036271";"0 (0;0)";"0 (0;0)";9.0374e-19;0.80865;0.022922;0.80865;0.80865
"X_276856.txt.gz1.tbl.gz";"-0.13949 +/- 0.03247";"-0.13728 +/- 0.056144";"-0.13563 (-0.16774;-0.10889)";"-0.12942 (-0.16686;-0.10929)";0.0077723;0.10016;0.0052554;0.86076;0.86076
"X_277051.txt.gz1.tbl.gz";"-0.12162 +/- 0.067918";"-0.12495 +/- 0.064691";"-0.0991 (-0.1982;-0.0991)";"-0.0991 (-0.1982;-0.0991)";8.3522e-11;0.94487;0.77962;0.83366;0.83366
"X_277135.txt.gz1.tbl.gz";"0.039933 +/- 0.028827";"0.040413 +/- 0.029361";"0.053117 (0.034383;0.056133)";"0.034383 (0.012633;0.059433)";0.0065527;0.27688;0.91699;0.94589;0.94589
"X_278035.txt.gz1.tbl.gz";"-0.087864 +/- 0.072505";"-0.10285 +/- 0.066706";"-0.09665 (-0.09665;0)";"-0.09665 (-0.1933;-0.09665)";3.8065e-10;0.56041;0.62958;0.36359;0.36359
"X_278163.txt.gz1.tbl.gz";"0.14755 +/- 0.056859";"0.13466 +/- 0.0586";"0.14483 (0.10805;0.1816)";"0.14255 (0.10805;0.1816)";4.2095e-05;0.93841;0.86435;0.36155;0.36155
"X_278515.txt.gz1.tbl.gz";"-0.11744 +/- 0.066103";"-0.0742 +/- 0.066412";"-0.10335 (-0.18086;-0.10335)";"-0.10335 (-0.10335;0)";1.0584e-10;0.52175;0.97885;0.008169;0.008169
"X_278926.txt.gz1.tbl.gz";"-0.11845 +/- 0.026474";"-0.10777 +/- 0.032102";"-0.12408 (-0.12408;-0.093)";"-0.12408 (-0.12408;-0.081431)";2.1427e-06;0.36697;0.29042;0.15655;0.15655
"X_279756.txt.gz1.tbl.gz";"-0.10065 +/- 0.041229";"-0.088718 +/- 0.048482";"-0.1038 (-0.1384;-0.0692)";"-0.0692 (-0.1384;-0.0692)";3.7519e-11;0.86503;0.37119;0.29558;0.29558
